domain	source	case	B_score	title
大语言模型与智能体	eval_qwen36_part07_batch2	65_ReasoningBank_-_Scaling_Agent_Self-Evolving_with_Reasoning_Memory	4.8	ReasoningBank - Scaling Agent Self-Evolving with Reasoning Memory
大语言模型与智能体	eval_qwen36_code_raw_vs_paperdraft_v3	MoDES - Accelerating Mixture-of-Experts Multimodal Large Language Models via Dynamic Expert Skipping	4.42	MoDES - Accelerating Mixture-of-Experts Multimodal Large Language Models via Dynamic Expert Skipping
大语言模型与智能体	eval_qwen36_part07_batch2	87_When_AI_Agents_Collude_Online_-_Financial_Fraud_Risks_by_Collaborative_LLM_Agents_on_Social_Platforms	4.42	When AI Agents Collude Online - Financial Fraud Risks by Collaborative LLM Agents on Social Platforms
大语言模型与智能体	eval_qwen36_part07_batch2	67_Reinforcement_Learning_Fine-Tuning_Enhances_Activation_Intensity_and_Diversity_in_the_Internal_Circuitry_of_LLMs	4.24	Reinforcement Learning Fine-Tuning Enhances Activation Intensity and Diversity in the Internal Circuitry of LLMs
强化学习	eval_qwen36_code_raw_vs_paperdraft_v3	Spatial-SSRL - Enhancing Spatial Understanding via Self-Supervised Reinforcement Learning	4.42	Spatial-SSRL - Enhancing Spatial Understanding via Self-Supervised Reinforcement Learning
机器人与具身智能	eval_qwen36_code_raw_vs_paperdraft_v3	TAVP - Learning to See and Act — Task-Aware Virtual View Exploration for Robotic Manipulation	6.0	TAVP - Learning to See and Act — Task-Aware Virtual View Exploration for Robotic Manipulation
机器人与具身智能	eval_qwen36_code_raw_vs_paperdraft_v3	SwitchCraft - Training-Free Multi-Event Video Generation with Attention Controls	5.0	SwitchCraft - Training-Free Multi-Event Video Generation with Attention Controls
机器人与具身智能	eval_qwen36_code_raw_vs_paperdraft_v3	APPO - Attention-guided Perception Policy Optimization for Video Reasoning	4.82	APPO - Attention-guided Perception Policy Optimization for Video Reasoning
机器人与具身智能	eval_qwen36_part07_batch1	25_Cosmos_Policy_-_Fine-Tuning_Video_Models_for_Visuomotor_Control_and_Planning	4.62	Cosmos Policy - Fine-Tuning Video Models for Visuomotor Control and Planning
机器人与具身智能	eval_qwen36_part07_batch2	58_Manipulation_as_in_Simulation_-_Enabling_Accurate_Geometry_Perception_in_Robots	4.62	Manipulation as in Simulation - Enabling Accurate Geometry Perception in Robots
机器人与具身智能	eval_qwen36_part07_batch2	66_Reference-guided_Policy_Optimization_for_Molecular_Optimization_via_LLM_Reasoning	4.62	Reference-guided Policy Optimization for Molecular Optimization via LLM Reasoning
机器人与具身智能	eval_qwen36_part07_batch1	07_Agentic_Reinforced_Policy_Optimization	3.84	Agentic Reinforced Policy Optimization
计算机视觉与多模态生成	eval_qwen36_part07_batch1	35_Error_as_Signal_-_Stiffness-Aware_Diffusion_Sampling_via_Embedded_Runge-Kutta_Guidance	6.0	Error as Signal - Stiffness-Aware Diffusion Sampling via Embedded Runge-Kutta Guidance
计算机视觉与多模态生成	eval_qwen36_part07_batch2	81_Uniform_Discrete_Diffusion_with_Metric_Path_for_Video_Generation	5.82	Uniform Discrete Diffusion with Metric Path for Video Generation
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	VideoCoF - Unified Video Editing with Temporal Reasoner	5.82	VideoCoF - Unified Video Editing with Temporal Reasoner
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	Multinex - Lightweight Low-light Image Enhancement	5.62	Multinex - Lightweight Low-light Image Enhancement
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	PROMPTMINER - Black-Box Prompt Stealing against Text-to-Image Generative Models via Reinforcement Learning and Fuzz Optimization	5.62	PROMPTMINER - Black-Box Prompt Stealing against Text-to-Image Generative Models via Reinforcement Learning and Fuzz Optimization
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	G2VLM - Geometry Grounded Vision-Language Model	5.42	G2VLM - Geometry Grounded Vision-Language Model
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	MedCLIPSeg - Probabilistic Vision–Language Adaptation for Data-Efficient and Generalizable Medical Image Segmentation	5.42	MedCLIPSeg - Probabilistic Vision–Language Adaptation for Data-Efficient and Generalizable Medical Image Segmentation
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	FORCE - Transferable Visual Jailbreaking Attacks via Feature Over-Reliance CorrEction	5.0	FORCE - Transferable Visual Jailbreaking Attacks via Feature Over-Reliance CorrEction
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	FlowMotion - Training-Free Flow Guidance for Video Motion Customization	5.0	FlowMotion - Training-Free Flow Guidance for Video Motion Customization
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	UCMNet - Uncertainty-Aware Context Memory Network for Under-Display Camera Image Restoration	5.0	UCMNet - Uncertainty-Aware Context Memory Network for Under-Display Camera Image Restoration
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	UniComp - Rethinking Video Compression Through Informational Uniqueness	5.0	UniComp - Rethinking Video Compression Through Informational Uniqueness
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	VANS - Video-as-Answer: Predict and Generate Next Visual States	5.0	VANS - Video-as-Answer: Predict and Generate Next Visual States
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	GThinker - Reasoning MLLM with Visual Cues and Visual Rethinking	4.82	GThinker - Reasoning MLLM with Visual Cues and Visual Rethinking
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	Retrieve and Segment - Are a Few Examples Enough to Bridge the Supervision Gap in Open-Vocabulary Segmentation?	4.82	Retrieve and Segment - Are a Few Examples Enough to Bridge the Supervision Gap in Open-Vocabulary Segmentation?
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	WeDetect - Fast Open-Vocabulary Object Detection as Retrieval	4.8	WeDetect - Fast Open-Vocabulary Object Detection as Retrieval
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	INSID3 - Training-Free In-Context Segmentation with DINOv3	4.74	INSID3 - Training-Free In-Context Segmentation with DINOv3
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	FPRL - Focus-to-Perceive Representation Learning for Endoscopic Video Analysis	4.62	FPRL - Focus-to-Perceive Representation Learning for Endoscopic Video Analysis
计算机视觉与多模态生成	eval_qwen36_part07_batch1	40_FlashDLM_-_Accelerating_Diffusion_Language_Model_Inference_via_Efficient_KV_Caching_and_Guided_Diffusion	4.62	FlashDLM - Accelerating Diffusion Language Model Inference via Efficient KV Caching and Guided Diffusion
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	Goal Force - Teaching Video Models To Accomplish Physics-Conditioned Goals	4.62	Goal Force - Teaching Video Models To Accomplish Physics-Conditioned Goals
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	MixerCSeg - An Efficient Mixer Architecture for Crack Segmentation	4.62	MixerCSeg - An Efficient Mixer Architecture for Crack Segmentation
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	MuViT - Multi-Resolution Vision Transformers for Learning Across Scales in Microscopy	4.62	MuViT - Multi-Resolution Vision Transformers for Learning Across Scales in Microscopy
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	Open-Vocabulary Domain Generalization in Urban-Scene Segmentation	4.62	Open-Vocabulary Domain Generalization in Urban-Scene Segmentation
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	Wan-Alpha - High-Quality Text-to-Video Generation with Alpha Channel	4.62	Wan-Alpha - High-Quality Text-to-Video Generation with Alpha Channel
计算机视觉与多模态生成	eval_qwen36_part07_batch2	83_VideoPhy-2_-_A_Challenging_Action-Centric_Physical_Commonsense_Evaluation_in_Video_Generation	4.42	VideoPhy-2 - A Challenging Action-Centric Physical Commonsense Evaluation in Video Generation
计算机视觉与多模态生成	eval_qwen36_code_raw_vs_paperdraft_v3	ViT³ - Unlocking Test-Time Training in Vision	4.24	ViT³ - Unlocking Test-Time Training in Vision
计算机视觉与多模态生成	eval_qwen36_part07_batch1	32_Does_FLUX_Already_Know_How_to_Perform_Physically_Plausible_Image_Composition	3.94	Does FLUX Already Know How to Perform Physically Plausible Image Composition
计算机视觉与多模态生成	eval_qwen36_part07_batch1	45_HiDrop_-_Hierarchical_Vision_Token_Reduction_in_MLLMs_via_Late_Injection__Concave_Pyramid_Pruning__and_Early_Exit	3.74	HiDrop - Hierarchical Vision Token Reduction in MLLMs via Late Injection Concave Pyramid Pruning and Early Exit
语音音频与音乐	eval_qwen36_part07_batch2	89_YuE_-_Scaling_Open_Foundation_Models_for_Long-Form_Music_Generation	5.28	YuE - Scaling Open Foundation Models for Long-Form Music Generation
语音音频与音乐	eval_qwen36_code_raw_vs_paperdraft_v3	FLAC - Few-Shot Acoustic Synthesis with Flow Matching	4.42	FLAC - Few-Shot Acoustic Synthesis with Flow Matching
语音音频与音乐	eval_qwen36_part07_batch2	71_Scalable_Multilingual_Multimodal_Machine_Translation_with_Speech-Text_Fusion	4.32	Scalable Multilingual Multimodal Machine Translation with Speech-Text Fusion
